Instance,,,DynCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,,,,Alt-4,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
adderII.cnf,,452,471.9,3473.0,,461,479.8,3504.6,,458,479.5,3397.3,,447,466.2,3349.6,,739,752.7,3057.3
asb.cnf,,404,421.1,3503.6,,414,427.6,3520.2,,428,436.8,3374.5,,415,433.7,3316.3,,656,687.2,3099.4
ceb_v850.cnf,,406,418.9,3448.3,,414,425.0,3486.4,,419,426.2,3383.6,,405,426.8,3435.3,,645,664.3,3166.5
ipaq.cnf,,413,429.8,3425.5,,417,438.6,3504.0,,425,437.2,3230.9,,428,440.7,3360.2,,666,701.2,3220.7
jmr3904.cnf,,411,420.8,3442.8,,417,427.1,3477.3,,418,430.0,3390.0,,402,428.3,3125.6,,649,665.9,3038.5
mace1.cnf,,407,421.0,3483.3,,417,427.6,3488.0,,418,434.7,3284.6,,419,426.3,3319.1,,649,670.9,3173.4
olpce2294.cnf,,464,474.7,3532.4,,468,489.1,3527.0,,475,487.4,3431.0,,458,483.3,3429.9,,751,775.7,3212.2
pati.cnf,,409,420.6,3480.0,,412,433.0,3534.7,,420,435.1,3323.1,,407,429.8,3340.7,,651,672.2,2958.2
prpmc1100.cnf,,407,420.0,3422.8,,417,427.7,3419.1,,417,428.5,3307.1,,411,428.2,3269.8,,653,673.1,3115.4
sam7ex256.cnf,,457,472.8,3499.1,,472,486.7,3535.7,,479,490.3,3420.4,,457,481.3,3504.1,,718,763.1,3097.5
toybox.cnf,,49,49.9,2817.2,,49,49.9,2820.8,,48,50.4,1194.5,,39,39.4,2203.5,,58,59.7,2405.8
vrc4375.cnf,,461,470.8,3445.6,,469,480.3,3558.8,,471,480.5,3384.3,,456,471.0,3458.3,,733,749.7,3194.1
